141,"Doesn't have an inbuilt Test Management area to write Test Cases including Test Steps, although I know there are things that can integrate with it, but I previously looked at those and found not to suit our needs.",1,"Data management, visualization and integration",5
146,"Most irritating are the varying layouts of tickets in the main view versus the side view that appears after you click the ticket number from a Kanban board or search results page. the smaller, cramped view has more features on it than the main view. this does not seem to be configurable.",1,Board management,0
147,Sometimes the integrations are difficult to set up and it's hard to consume all the project information it keeps track of.,1,"Data management, visualization and integration",5
149,I just wish it was easier to export the data you put into it and also import existing project information.,1,"Data management, visualization and integration",5
150,"When there are many subtasks and linked tasks to a master task, the workflow can be difficult to follow at a single glance.",1,Board management,0
151,"Finding the ""complete story"" button is always difficult for me. Every two weeks I have to try and remember where it is.",1,Navigation and search,8
153,Sometimes the integrations are difficult to set up and it's hard to consume all the project information Jira keeps track of.,1,"Data management, visualization and integration",5
154,It would be nice if it had deeper integrations with more messaging apps.,1,"Data management, visualization and integration",5
155,The notifications are overly overwhelming by individual emails.,1,Notifications,7
156,Can't assign multiple people to a single task - have to duplicate the task.,1,Board management,0
157,"Not able to assign more than one person to a project; not able to copy and paste some things; once I organize my project list, it doesn't keep the order (glitch?)",1,Board management,0
158,"API seems unstable at times, requiring a reload when viewing a task",1,Board management,0
159,"It is hard to do parent/child tasks with clear comments, etc. ",1,Board management,0
160,"The way the tasks show up under ""My Tasks"" is hard to understand and complete, so I always have to look at the project view.",1,Board management,0
161,I think it's missing views into progress towards a set of projects or tasks. I want to use this not only assign tasks but use it for productivity analysis.,1,Board management,0
162,It's easy to get lost in the tasks because you can have tasks and sub-tasks and sub-sub tasks...it's never ending.,1,Board management,0
163,It is very hard to find items. The search is not that powerful.,1,Navigation and search,8
164,Does not auto-populate new tasks by due dates.,1,Board management,0
169,"not intuitive it does not show data in real time. e.g. if a colleague is updating something as the same time as the backlog being reviewed, that change will not show unless you refreesh the page on purpose",1,"Data management, visualization and integration",5
169,"not intuitive it does not show data in real time. e.g. if a colleague is updating something as the same time as the backlog being reviewed, that change will not show unless you refreesh the page on purpose",1,Board management,0
174,"In the user area, there are annoying defects that don't seem to ever be addressed - for example there is no way the order of tickets in an Agile board can be based on the tickets priority, although many users have complained.",1,Board management,0
175,"Unwillingness to sort out issues in the ""too hard"" basket such as permissions and admin usability.",1,Board management,0
175,"Unwillingness to sort out issues in the ""too hard"" basket such as permissions and admin usability.",1,Navigation and search,8
177,Some times hard to find features.,1,Navigation and search,8
181,"I can't seem to figure out if you can set multiple reminder updates, e.g. remind me 2 days out that a task is due, remind me 1 day out, etc",1,Board management,0
184,"It lacks an integration that would be useful, with BaseCRM to create a task in a new project or existing project when a deal is concluded .",1,"Data management, visualization and integration",5
188,sometimes hard to find the user story i'm looking for.,1,Navigation and search,8
197,Poor Gantt chart integration (from my perspective) - Hard to get subtasks on scheduled - No project or task templating,1,"Data management, visualization and integration",5
197,Poor Gantt chart integration (from my perspective) - Hard to get subtasks on scheduled - No project or task templating,1,Board management,0
198,"Deleting tasks can be challenging sometime, especially if it is a nested task.",1,Board management,0
201,"It does not currently have a time management feature, so it is easy to overbook a person with individual tasks.",1,Board management,0
